rank,school,peer_rating,is_enroll,is_ft_students,is_ft_fac,iw_nonres_tuition,fr_sf_ratio,fr_pct_doc,fo_tot_pubs,fo_avg_pubs,fo_tot_res,phd_ug_gpa,sr_gre_v,sr_gre_q,sr_doc_acc
80,University of California--Santa Barbara…,3.4,253,247,41,28974,3.9,61.66,355,8.66,3.28,3.3,,,8.30
83,Binghamton University--SUNY,2.9,250,127,15,23112,3.3,22.40,199,13.27,1.85,3.9,,,27.30
83,East Carolina University,2.7,1019,167,53,17898,3.0,12.17,431,8.13,3.70,3.2,147,142,72.70
83,George Mason University,3.1,1667,333,68,18216,4.5,15.48,758,11.15,10.04,3.4,153,147,73.00
83,Illinois State University,2.9,892,186,119,20664,1.8,33.52,370,3.11,7.97,3.8,146,151,74.10
83,Kansas State University,3.1,1205,236,38,23016,3.3,36.68,294,7.74,6.59,3.4,,,89.10
83,Montclair State University,2.9,1951,607,101,16440,2.6,8.56,272,2.69,9.77,3.2,,,46.40
83,Old Dominion University (Darden),2.8,1523,487,87,33456,2.5,18.98,489,5.62,9.91,3.3,150,147,59.50
83,Oregon State University,3.1,512,108,17,28242,1.8,30.66,481,28.29,3.72,3.3,,,43.90
83,University at Albany--SUNY,3.1,1025,333,52,23100,4.7,31.90,416,8.00,5.02,,155,151,42.50
83,University of Denver (Morgridge),3.1,969,334,33,51091,6.1,27.66,295,8.94,5.16,3.3,152,148,38.20
83,University of Massachusetts--Amherst,3.5,399,266,52,31488,3.4,62.16,512,9.85,3.97,3.6,153,152,57.30
83,University of Nevada--Reno,3.0,502,138,45,21592,1.7,20.92,288,6.40,10.97,3.6,151,147,66.70
83,University of New Mexico,3.0,596,45,94,33648,0.9,34.06,507,5.39,,3.1,156,152,33.30
83,University of North Carolina--Greensboro,3.2,965,302,47,18938,3.2,23.73,415,8.83,5.27,3.4,151,147,74.70
83,University of Utah,3.2,579,334,52,25961,4.2,41.45,679,13.06,7.55,3.5,155,150,41.80
83,Virginia Tech,3.4,426,228,33,29238,4.4,53.29,722,21.88,3.14,3.3,156,151,73.60
99,Auburn University,3.2,925,385,80,41544,3.3,48.11,485,6.06,4.63,3.3,151,148,38.70
99,Kent State University,3.0,695,383,92,22523,1.4,28.63,405,4.40,4.50,3.3,,,45.20
99,New Mexico State University,2.7,547,127,40,18023,2.4,26.69,182,4.55,,3.3,158,152,34.90
99,Portland State University,2.9,1008,340,43,16392,2.6,7.04,245,5.70,6.68,3.5,,,24.00
99,Rowan University,2.6,1169,170,57,21000,1.8,18.14,267,4.68,5.17,3.3,,,56.30
99,St. John's University,2.7,727,204,43,33600,3.6,48.28,209,4.86,3.18,3.2,150,143,51.30
